formula_id,lhs,formula_role,coverage_status,mapped_to,source_v4_line,source_v4_section,notes
V5_0432,pH_sp,concept_template,templated_covered,pH_sp_s,802,7. 浮选因果模型 / 7.4 NaOH/CaO/pH/Ca2+,
V5_0434,pH_ss,concept_template,templated_covered,pH_ss_s,814,7. 浮选因果模型 / 7.4 NaOH/CaO/pH/Ca2+,
V5_0447,rho_under,concept_template,templated_covered,rho_under_s,728,7. 浮选因果模型 / 7.2 浮选前浓缩,
V5_0449,rougher_feed,concept_template,semantic_covered,"covered_by:feed_j_rate_{s,c}",957,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0451,scraper_speed,concept_template,templated_covered,"scraper_speed_{s,c}",854,7. 浮选因果模型 / 7.5 气量和泡沫控制,
V5_0453,selectivity_proxy,concept_template,templated_covered,selectivity_proxy_s,756,7. 浮选因果模型 / 7.3 药剂控制,
V5_0466,tail_j_rate,concept_template,templated_covered,"tail_j_rate_{s,c}",946,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0469,tail_or_conc_j,concept_template,semantic_covered,"covered_by:tail_j_{s,c};froth_j_{s,c}",951,7. 浮选因果模型 / 7.7 浮选速率和组分分流,
V5_0471,tau_stage_h,concept_template,templated_covered,"tau_stage_h_{s,c}",894,7. 浮选因果模型 / 7.6 液位、流量、停留时间,
V5_0475,u_bv,concept_template,templated_covered,"u_bv_sp_{s,c};u_bv_{s,c}",847,7. 浮选因果模型 / 7.5 气量和泡沫控制,
V5_0480,u_lv_fb,concept_template,templated_covered,"u_lv_fb_{s,c}",891,7. 浮选因果模型 / 7.6 液位、流量、停留时间,
V5_0482,u_lv_sp,concept_template,templated_covered,"u_lv_sp_{s,c}",890,7. 浮选因果模型 / 7.6 液位、流量、停留时间,
V5_0498,x_phys,reference,design_constraint,"Reference rule for implementation/validation, not a timestep equation.",1121,10. DCS 具体生成公式和代理防护 / ,
V5_0499,y_fx_xin1,reference,reference_only,"Documentation-only reference, not a timestep equation.",1111,9. 特征目录 / ,
