formula_id,stage,source_v4_line,source_v4_section,lhs,rhs,formula_line,parents,state_type,formula_role,observable,status,notes
V5M_0512,flotation,manual,manual V5 closure,floatability_difficulty_s,w_carb*r_carb_s+w_sil*r_sil_s+w_fine*f25_s+w_coarse*(1-F325_s)+w_low_lib*(1-Liberation_gangue_s)+w_density*abs(C_s-C_opt)+w_clay*clay_s,floatability_difficulty_s = w_carb*r_carb_s+w_sil*r_sil_s+w_fine*f25_s+w_coarse*(1-F325_s)+w_low_lib*(1-Liberation_gangue_s)+w_density*abs(C_s-C_opt)+w_clay*clay_s,r_carb_s;r_sil_s;f25_s;F325_s;Liberation_gangue_s;C_s;clay_s,derived,executable,no,manual_closure,Series-specific difficult-floatability score used by reagent controllers.
V5M_0513,flotation,manual,manual V5 closure,selectivity_proxy_s,q_pH*pH_s+q_Ca*Ca2_effect_s+q_slime*(1-f25_s)+q_lib*Liberation_gangue_s,selectivity_proxy_s = q_pH*pH_s+q_Ca*Ca2_effect_s+q_slime*(1-f25_s)+q_lib*Liberation_gangue_s,pH_s;Ca2_effect_s;f25_s;Liberation_gangue_s,derived,executable,no,manual_closure,Series-specific selectivity proxy used by K6 demand.
V5M_0514,flotation,manual,manual V5 closure,E_Ca2_sil_s,1+a_Ca_sil*sigmoid((Ca2_effect_s-Ca_sil0)/s_Ca_sil),E_Ca2_sil_s = 1+a_Ca_sil*sigmoid((Ca2_effect_s-Ca_sil0)/s_Ca_sil),Ca2_effect_s;Ca_sil0;s_Ca_sil,derived,executable,no,manual_closure,Series-specific Ca2+ effect for silicate flotation kinetics.
V5M_0515,flotation,manual,manual V5 closure,E_Ca2_carb_s,1+a_Ca_carb*sigmoid((Ca2_effect_s-Ca_carb0)/s_Ca_carb),E_Ca2_carb_s = 1+a_Ca_carb*sigmoid((Ca2_effect_s-Ca_carb0)/s_Ca_carb),Ca2_effect_s;Ca_carb0;s_Ca_carb,derived,executable,no,manual_closure,Series-specific Ca2+ effect for carbonate flotation kinetics.
V5M_0516,flotation,manual,manual V5 closure,"M_cell_solid_prev_{s,c}","sum_j(M_cell_j_prev_{s,c})","M_cell_solid_prev_{s,c} = sum_j(M_cell_j_prev_{s,c})","M_cell_j_prev_{s,c}",state_reference,executable,no,manual_closure,Total previous solid inventory inside flotation cell CSTR.
V5M_0517,flotation,manual,manual V5 closure,"feed_j_rate_{s,c}","topology_feed_j_rate(stage=c,series=s,Q_feed_s=Q_feed_s,feed_grade_j_s=feed_grade_j_s,Q_pump_pool_1=Q_pump_pool_{s,1},Q_pump_pool_2=Q_pump_pool_{s,2},Q_pump_pool_3=Q_pump_pool_{s,3},recycle_grade_j_1=recycle_grade_j_{s,1},recycle_grade_j_2=recycle_grade_j_{s,2},recycle_grade_j_3=recycle_grade_j_{s,3})","feed_j_rate_{s,c} = topology_feed_j_rate(stage=c,series=s,Q_feed_s=Q_feed_s,feed_grade_j_s=feed_grade_j_s,Q_pump_pool_1=Q_pump_pool_{s,1},Q_pump_pool_2=Q_pump_pool_{s,2},Q_pump_pool_3=Q_pump_pool_{s,3},recycle_grade_j_1=recycle_grade_j_{s,1},recycle_grade_j_2=recycle_grade_j_{s,2},recycle_grade_j_3=recycle_grade_j_{s,3})","topology_feed_j_rate;Q_feed_s;feed_grade_j_s;Q_pump_pool_{s,1};Q_pump_pool_{s,2};Q_pump_pool_{s,3};recycle_grade_j_{s,1};recycle_grade_j_{s,2};recycle_grade_j_{s,3}",flow,executable,no,manual_closure,Resolved by flotation topology and explicitly consumes middling return pump outputs.
V5M_0518,flotation,manual,manual V5 closure,"entrainment_j_rate_{s,c}","entrainment_factor_{s,c}*Q_out_solid_{s,c}*entr_share_j_c","entrainment_j_rate_{s,c} = entrainment_factor_{s,c}*Q_out_solid_{s,c}*entr_share_j_c","entrainment_factor_{s,c};Q_out_solid_{s,c};entr_share_j_c",flow,executable,no,manual_closure,Mechanical entrainment rate from CSTR pulp discharge and slime/clay entrainment factor.
V5M_0519,flotation,manual,manual V5 closure,"rho_froth_mix_{s,c}","sum_j(froth_j_rate_{s,c})/max(sum_j(froth_j_rate_{s,c}/rho_j),eps)","rho_froth_mix_{s,c} = sum_j(froth_j_rate_{s,c})/max(sum_j(froth_j_rate_{s,c}/rho_j),eps)","froth_j_rate_{s,c};rho_j",derived,executable,no,manual_closure,Froth mixture density for Q_froth_cell conversion.
V5M_0520,tower_mill,manual,manual V5 closure,rho_solid_mix_feed,rho_solid_mix,rho_solid_mix_feed = rho_solid_mix,rho_solid_mix,derived,executable,no,manual_closure,Alias for tower mill feed solid density until component-specific feed density is expanded.
V5M_0521,dcs,manual,manual V5 closure,fx_s{s}_{c}_froth_h,"ifelse(event_froth_fault_{s,c},fault_value,meas(h_froth_{s,c}))","fx_s{s}_{c}_froth_h = ifelse(event_froth_fault_{s,c},fault_value,meas(h_froth_{s,c}))","event_froth_fault_{s,c};fault_value;meas;h_froth_{s,c}",dcs,executable,no,manual_closure,Froth height DCS output with explicit fault injection edge.
V5M_0522,lab,manual,manual V5 closure,lab_tm_overflow_tfe,"lab_sample_template(_x_tm_overflow_tfe,sample_time_tm_overflow_tfe,report_time_tm_overflow_tfe,sigma_sampling_tm,sigma_assay_tfe)","lab_tm_overflow_tfe = lab_sample_template(_x_tm_overflow_tfe,sample_time_tm_overflow_tfe,report_time_tm_overflow_tfe,sigma_sampling_tm,sigma_assay_tfe)",lab_sample_template;_x_tm_overflow_tfe;sample_time_tm_overflow_tfe;report_time_tm_overflow_tfe;sigma_sampling_tm;sigma_assay_tfe,lab,executable,no,manual_closure,Concrete instance of the lab sampling template for tower-mill overflow TFe.
V5M_0523,lab,manual,manual V5 closure,lab_mag_mixed_conc_tfe,"lab_sample_template(_x_mag_mixed_conc_tfe,sample_time_mag_mixed_conc_tfe,report_time_mag_mixed_conc_tfe,sigma_sampling_mag,sigma_assay_tfe)","lab_mag_mixed_conc_tfe = lab_sample_template(_x_mag_mixed_conc_tfe,sample_time_mag_mixed_conc_tfe,report_time_mag_mixed_conc_tfe,sigma_sampling_mag,sigma_assay_tfe)",lab_sample_template;_x_mag_mixed_conc_tfe;sample_time_mag_mixed_conc_tfe;report_time_mag_mixed_conc_tfe;sigma_sampling_mag;sigma_assay_tfe,lab,executable,no,manual_closure,Concrete instance of the lab sampling template for magnetic mixed concentrate TFe.
