v4_formula_id,v4_line,v4_section,lhs,v4_formula_line,v5_formula_id,migration_status,decision,conflict_group,canonical_v4_line,notes
F0015_230,230,2. 全局变量分类 / 2.2 隐藏物料状态,T_slurry_mixed,"T_slurry_mixed = (M_wet_in1*Cp_slurry_in1*T_slurry_in1+M_wet_in2*Cp_slurry_in2*T_slurry_in2) / max(M_wet_in1*Cp_slurry_in1+M_wet_in2*Cp_slurry_in2,eps)",,superseded,duplicate_conflict_executable_preferred,yes,411,
F0016_238,238,2. 全局变量分类 / 2.2 隐藏物料状态,buffer_capacity,buffer_capacity = b0 + b_carb*r_carb + b_sil*r_sil + b_clay*clay + b_C*C + b_flow*M_solid,V5_0286,migrated,canonical_formula,no,238,
F0017_250,250,2. 全局变量分类 / 2.2 隐藏物料状态,hydrophobic_potential,hydrophobic_potential = h0 + h_lib*Liberation_gangue + h_sil*r_sil + h_carb*r_carb + h_fine*f25 - h_k6*dose_DF_K6 + h_ca*Ca2_effect,V5_0400,migrated,canonical_formula,no,250,
F0018_263,263,2. 全局变量分类 / 2.3 DCS、lab、标签,DCS,DCS = 在线传感器或控制系统可见值，可作 DCS-only 特征。,,dropped,non_executable_or_block_header,no,,Dropped from formula CSV; prose/source record remains in V4.
F0020_282,282,3. 基础动态函数 / ,u_sp,"u_sp = clip( u_nom + Kp*error + Ki*integral(error) + Kff*feedforward_state + operator_trim + intervention, u_min,u_max)",V5_0488,migrated,canonical_formula,no,282,
F0020_290,290,3. 基础动态函数 / ,u_actual,"u_actual = sat_act(u_sp,u_min,u_max,tau_act)",V5_0473,migrated,canonical_formula,no,290,
F0022_315,315,4. 入口边界因果模型 / ,"availability_iin{0,1},i","availability_i in {0,1}, i=1,2,3",V5_0279,migrated,canonical_formula,no,315,
F0022_316,316,4. 入口边界因果模型 / ,M_wet_i,"M_wet_i = availability_i*clip(M_nom_i+xi_common+xi_i,M_min_i,M_max_i)",V5_0121,migrated,canonical_formula,no,316,
F0022_317,317,4. 入口边界因果模型 / ,C_i,"C_i = clip(C_nom+k_load_C*(M_wet_i-M_nom_i)+k_clay_C*clay_i+xi_C_i,C_min,C_max)",V5_0004,migrated,canonical_formula,no,317,
F0022_318,318,4. 入口边界因果模型 / ,M_solid_i,M_solid_i = M_wet_i*C_i,V5_0111,migrated,canonical_formula,no,318,
F0022_319,319,4. 入口边界因果模型 / ,M_water_i,M_water_i = M_wet_i-M_solid_i,V5_0118,migrated,canonical_formula,no,319,
F0022_320,320,4. 入口边界因果模型 / ,TFe_i,"TFe_i = clip(G_base_i+k_mag_G*(r_mag_i-r_mag_ref)-k_clay_G*clay_i+xi_G_i,G_min,G_max)",V5_0205,migrated,canonical_formula,no,320,
F0023_332,332,4. 入口边界因果模型 / ,F200_i,F200_i=sigmoid(logit(F200_i)),V5_0037,migrated,canonical_formula,no,332,
F0023_333,333,4. 入口边界因果模型 / ,F325_i,"F325_i=F(45e-6;d80_i,n_rr)",V5_0043,migrated,canonical_formula,no,333,
F0023_334,334,4. 入口边界因果模型 / ,f25_i,"f25_i=F(25e-6;d80_i,n_rr)",V5_0336,migrated,canonical_formula,no,334,
F0024_340,340,4. 入口边界因果模型 / ,Fe_total_i,Fe_total_i=M_solid_i*TFe_i,V5_0053,migrated,canonical_formula,no,340,
F0024_341,341,4. 入口边界因果模型 / ,Fe_mag_i,Fe_mag_i=Fe_total_i*r_mag_i,V5_0050,migrated,canonical_formula,no,341,
F0024_342,342,4. 入口边界因果模型 / ,Fe_hem_i,Fe_hem_i=Fe_total_i*r_hem_i,V5_0049,migrated,canonical_formula,no,342,
F0024_343,343,4. 入口边界因果模型 / ,Fe_carb_i,Fe_carb_i=Fe_total_i*r_carb_i,V5_0048,migrated,canonical_formula,no,343,
F0024_344,344,4. 入口边界因果模型 / ,Fe_sil_i,Fe_sil_i=Fe_total_i*r_sil_i,V5_0051,migrated,canonical_formula,no,344,
F0024_345,345,4. 入口边界因果模型 / ,Gangue_i,Gangue_i=M_solid_i-Fe_total_i,V5_0054,migrated,canonical_formula,no,345,
F0024_346,346,4. 入口边界因果模型 / ,FeO_proxy_i,FeO_proxy_i=k_feo_mag*Fe_mag_i+k_feo_carb*Fe_carb_i+k_feo_hem*Fe_hem_i+k_feo_sil*Fe_sil_i,V5_0047,migrated,canonical_formula,no,346,
F0024_348,348,4. 入口边界因果模型 / ,rho_solid_mix_i,"rho_solid_mix_i = M_solid_i / max( Fe_mag_i/rho_fe_mag + Fe_hem_i/rho_fe_hem + Fe_carb_i/rho_fe_carb + Fe_sil_i/rho_fe_sil + Gangue_i/rho_gangue, eps)",V5_0444,migrated,canonical_formula,no,348,
F0025_361,361,4. 入口边界因果模型 / ,Liberation_fe_i,"Liberation_fe_i = clip( L0_fe - k_L_wi*(WI_i-WI_ref) - k_L_size*(1-F200_i) - k_L_clay*clay_i, 0.1,0.8)",V5_0078,migrated,canonical_formula,no,361,
F0025_368,368,4. 入口边界因果模型 / ,Liberation_gangue_i,"Liberation_gangue_i = clip( L0_gangue - k_Lg_wi*(WI_i-WI_ref) - k_Lg_size*(1-F200_i), 0.1,0.8)",V5_0086,migrated,canonical_formula,no,368,
F0025_374,374,4. 入口边界因果模型 / ,T_slurry_i,T_slurry_i = T_amb+k_ore_temp*(T_ore_feed-T_amb)+k_water_temp*(T_process_water-T_amb),V5_0219,migrated,canonical_formula,no,374,
F0026_380,380,4. 入口边界因果模型 / ,M_solid_mixed,M_solid_mixed = M_wet_1*C_1 + M_wet_2*C_2 + M_wet_3*C_3,V5_0112,migrated,canonical_formula,no,380,
F0026_381,381,4. 入口边界因果模型 / ,M_water_mixed,M_water_mixed = M_water_1 + M_water_2 + M_water_3,V5_0119,migrated,canonical_formula,no,381,
F0026_382,382,4. 入口边界因果模型 / ,M_wet_mixed,M_wet_mixed = M_solid_mixed + M_water_mixed,V5_0122,migrated,canonical_formula,no,382,
F0026_383,383,4. 入口边界因果模型 / ,C_mixed,"C_mixed = M_solid_mixed/max(M_wet_mixed,eps)",V5_0006,migrated,canonical_formula,no,383,
F0026_385,385,4. 入口边界因果模型 / ,_x_d3_WI_mixed,"_x_d3_WI_mixed = (M_solid_1*WI_1+M_solid_2*WI_2+M_solid_3*WI_3) / max(M_solid_mixed,eps)",V5_0245,migrated,canonical_formula,no,385,
F0026_388,388,4. 入口边界因果模型 / ,_x_clay_mixed,"_x_clay_mixed = (M_solid_1*clay_1+M_solid_2*clay_2+M_solid_3*clay_3) / max(M_solid_mixed,eps)",V5_0242,migrated,canonical_formula,no,388,
F0026_391,391,4. 入口边界因果模型 / ,_x_r_carb_mixed,"_x_r_carb_mixed = (M_solid_1*r_carb_1+M_solid_2*r_carb_2+M_solid_3*r_carb_3) / max(M_solid_mixed,eps)",V5_0248,migrated,canonical_formula,no,391,
F0026_395,395,4. 入口边界因果模型 / ,TFe_mixed,"TFe_mixed = (M_solid_1*TFe_1+M_solid_2*TFe_2+M_solid_3*TFe_3) / max(M_solid_mixed,eps)",V5_0206,migrated,canonical_formula,no,395,
F0026_398,398,4. 入口边界因果模型 / ,rho_solid_mix_mixed,"rho_solid_mix_mixed = M_solid_mixed / max( sum_i(Fe_mag_i/rho_fe_mag) + sum_i(Fe_hem_i/rho_fe_hem) + sum_i(Fe_carb_i/rho_fe_carb) + sum_i(Fe_sil_i/rho_fe_sil) + sum_i(Gangue_i/rho_gangue), eps)",V5_0445,migrated,canonical_formula,no,398,
F0026_406,406,4. 入口边界因果模型 / ,F200_mixed,"F200_mixed = sum_i(M_solid_i*F200_i)/max(M_solid_mixed,eps)",V5_0038,migrated,canonical_formula,no,406,
F0026_407,407,4. 入口边界因果模型 / ,F325_mixed,"F325_mixed = sum_i(M_solid_i*F325_i)/max(M_solid_mixed,eps)",V5_0044,migrated,canonical_formula,yes,407,
F0026_408,408,4. 入口边界因果模型 / ,f25_mixed,"f25_mixed = sum_i(M_solid_i*f25_i)/max(M_solid_mixed,eps)",V5_0337,migrated,canonical_formula,no,408,
F0026_409,409,4. 入口边界因果模型 / ,Liberation_fe_mixed,"Liberation_fe_mixed = sum_i(M_solid_i*Liberation_fe_i)/max(M_solid_mixed,eps)",V5_0079,migrated,canonical_formula,yes,409,
F0026_410,410,4. 入口边界因果模型 / ,Liberation_gangue_mixed,"Liberation_gangue_mixed = sum_i(M_solid_i*Liberation_gangue_i)/max(M_solid_mixed,eps)",V5_0087,migrated,canonical_formula,yes,410,
F0026_411,411,4. 入口边界因果模型 / ,T_slurry_mixed,"T_slurry_mixed = sum_i(M_wet_i*Cp_slurry_i*T_slurry_i)/max(sum_i(M_wet_i*Cp_slurry_i),eps)",V5_0220,migrated,canonical_formula,yes,411,
F0027_417,417,4. 入口边界因果模型 / ,_x_d1,_x_d1=TFe_mixed,V5_0243,migrated,canonical_formula,no,417,
F0027_418,418,4. 入口边界因果模型 / ,_x_d2,"_x_d2=_x_r_carb_mixed or Fe_carb load, config must state exact meaning",,dropped,non_executable_or_block_header,no,,Dropped from formula CSV; prose/source record remains in V4.
F0027_419,419,4. 入口边界因果模型 / ,_x_d3,_x_d3=_x_d3_WI_mixed,V5_0244,migrated,canonical_formula,no,419,
F0027_420,420,4. 入口边界因果模型 / ,_x_d4,_x_d4=water_pressure,V5_0246,migrated,canonical_formula,no,420,
F0027_421,421,4. 入口边界因果模型 / ,_x_m_ball,_x_m_ball=M_wet_mixed,V5_0247,migrated,canonical_formula,no,421,
F0027_422,422,4. 入口边界因果模型 / ,_x_rho_ball,_x_rho_ball=C_mixed,V5_0249,migrated,canonical_formula,no,422,
F0028_432,432,4. 入口边界因果模型 / ,lab_{i}_eryi_tfe,"lab_{i}_eryi_tfe=100*_x_eryi_line{i}_tfe+N(0,sigma_tfe_pct)",V5_0415,migrated,canonical_formula,no,432,
F0028_433,433,4. 入口边界因果模型 / ,lab_{i}_eryi_f200,"lab_{i}_eryi_f200=100*_x_eryi_line{i}_f200+N(0,sigma_f200_pct)",V5_0414,migrated,canonical_formula,no,433,
F0030_461,461,5. 磁选因果模型 / 5.2 控制设定不得孤立,magnetic_difficulty,magnetic_difficulty = w_low_mag*(r_mag_ref-r_mag) + w_low_lib*(1-Liberation_fe) + w_coarse*(1-F200) + w_load*(Q_feed-Q_ref) + w_carb*r_carb + w_sil*r_sil,,superseded,duplicate_conflict_executable_preferred,yes,1207,
F0030_469,469,5. 磁选因果模型 / 5.2 控制设定不得孤立,I_exc_sp,"I_exc_sp = clip(I_nom + Kdiff_I*magnetic_difficulty - Kmag_I*(r_mag-r_mag_ref) + operator_trim_I + PRBS_mag_I, I_min,I_max)",,merged,duplicate_same_formula,no,1214,
F0030_476,476,5. 磁选因果模型 / 5.2 控制设定不得孤立,I_exc,"I_exc=sat_act(I_exc_sp,I_min,I_max,tau_exc)",,superseded,duplicate_conflict_executable_preferred,yes,1215,
F0030_477,477,5. 磁选因果模型 / 5.2 控制设定不得孤立,B_eff,B_eff=B_max*(1-exp(-I_exc/I_ref))*thermal_derate(T_coil),V5_0001,migrated,canonical_formula,no,477,
F0031_483,483,5. 磁选因果模型 / 5.2 控制设定不得孤立,f_pul_sp,"f_pul_sp=clip(f_pul_nom + Kcoarse_pul*(1-F325) + Kclay_pul*clay + Kslime_pul*f25 + Kload_pul*(Q_feed-Q_ref) + operator_trim_pul, f_pul_min,f_pul_max)",,superseded,duplicate_conflict_executable_preferred,yes,1234,
F0031_490,490,5. 磁选因果模型 / 5.2 控制设定不得孤立,f_pul,"f_pul=sat_act(f_pul_sp,f_pul_min,f_pul_max,tau_pul)",,superseded,duplicate_conflict_executable_preferred,yes,1236,
F0032_496,496,5. 磁选因果模型 / 5.2 控制设定不得孤立,clog_buildup,"clog_buildup = c0 + c_clay*clay + c_f25*f25 + c_C*C + c_load*Q_feed/max(Q_ref,eps)",,merged,duplicate_same_formula,no,1224,
F0032_502,502,5. 磁选因果模型 / 5.2 控制设定不得孤立,clog_wash,"clog_wash = c_flush_Q*Q_flush_lag/max(Q_flush_ref,eps) + c_pul_clog*f_pul_lag/max(f_pul_ref,eps)",,superseded,duplicate_conflict_executable_preferred,yes,1230,
F0032_505,505,5. 磁选因果模型 / 5.2 控制设定不得孤立,matrix_clog,"matrix_clog = clip(matrix_clog_prev+dt*(clog_buildup-clog_wash),0,1)",,merged,duplicate_same_formula,no,1233,
F0032_507,507,5. 磁选因果模型 / 5.2 控制设定不得孤立,f_ring_sp,"f_ring_sp=clip(f_ring_nom + Kclog_ring*matrix_clog + Kcoarse_ring*(1-F200) + operator_trim_ring, f_ring_min,f_ring_max)",,superseded,duplicate_conflict_executable_preferred,yes,1235,
F0032_512,512,5. 磁选因果模型 / 5.2 控制设定不得孤立,f_ring,"f_ring=sat_act(f_ring_sp,f_ring_min,f_ring_max,tau_ring)",,superseded,duplicate_conflict_executable_preferred,yes,1237,
F0033_518,518,5. 磁选因果模型 / 5.3 分选公式,capture_j,capture_j=sigmoid(a0_j+aB_j*log(B_eff/B_ref)+aL_j*log(Liberation_j/L_ref) +aSize_j*(F200-F200_ref)+aC_j*(C-C_ref)-aQ_j*(Q_feed-Q_ref)),V5_0288,migrated,canonical_formula,no,518,
F0033_521,521,5. 磁选因果模型 / 5.3 分选公式,E_pulse,E_pulse=exp(-((f_pul-f_pul_opt)/sigma_pul)^2),V5_0031,migrated,canonical_formula,no,521,
F0033_522,522,5. 磁选因果模型 / 5.3 分选公式,E_ring,E_ring=exp(-((f_ring-f_ring_opt)/sigma_ring)^2)*(1-k_clog*matrix_clog),V5_0032,migrated,canonical_formula,no,522,
F0033_523,523,5. 磁选因果模型 / 5.3 分选公式,E_level,E_level=exp(-((L_mag-L_ref)/sigma_L)^2),V5_0024,migrated,canonical_formula,no,523,
F0033_524,524,5. 磁选因果模型 / 5.3 分选公式,Entr,"Entr=clip( e0 + eC*C + ef25*f25 + eclay*clay + eL*(L_mag-L_ref) - e_pul*(f_pul-f_pul_min)/max(f_pul_ref,eps), 0,e_max)",V5_0036,migrated,canonical_formula,no,524,
F0033_533,533,5. 磁选因果模型 / 5.3 分选公式,R_hm_j,"R_hm_j=clip(capture_j*E_pulse*E_ring*E_level,0,Rmax_j)",V5_0200,migrated,canonical_formula,no,533,
F0033_534,534,5. 磁选因果模型 / 5.3 分选公式,conc_j,conc_j=R_hm_j*feed_j+Entr*Gangue*entr_share_j,V5_0293,migrated,canonical_formula,no,534,
F0033_535,535,5. 磁选因果模型 / 5.3 分选公式,tail_j,tail_j=feed_j-conc_j,V5_0465,migrated,canonical_formula,no,535,
F0035_569,569,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,dL_pool/dt,dL_pool/dt=(Q_in-Q_pump-Q_spill)/A_pool,,superseded,duplicate_conflict_executable_preferred,yes,1311,
F0035_570,570,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,P_cyc_lag,"P_cyc_lag=delay(P_cyc,L_pump_pressure)",,merged,duplicate_same_formula,no,1312,
F0035_571,571,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,f_pump_sp,"f_pump_sp=clip(f0+Kp_L*(L_pool-L_sp)+Kp_P*(P_sp-P_cyc_lag)+Kff_Q*Q_in,f_min,f_max)",,superseded,duplicate_conflict_executable_preferred,yes,1313,
F0035_572,572,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,f_pump,"f_pump=sat_act(f_pump_sp,f_min,f_max,tau_pump)",,superseded,duplicate_conflict_executable_preferred,yes,1314,
F0035_573,573,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,Q_pump,"Q_pump=k_pump*f_pump*(1-exp(-max(L_pool,0)/max(L_min_safe,eps)))*health_pump",,merged,duplicate_same_formula,no,1315,
F0035_574,574,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,P_cyc,"P_cyc=clip(kP*rho_slurry*(Q_pump/max(N_cyc_on,1))^2,P_min,P_max)",,superseded,duplicate_conflict_executable_preferred,yes,1316,
F0035_575,575,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,I_pump,I_pump=I0+kf*f_pump^2+kQ*Q_pump+krho*rho_slurry+kmu*mu_slurry+kP_pump*P_cyc,V5_0065,migrated,canonical_formula,no,575,
F0036_581,581,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,tau_cyc_pool,"tau_cyc_pool=max(L_pool*A_pool/max(Q_pump,eps),min_tau_cyc_pool)",,superseded,duplicate_conflict_executable_preferred,yes,1290,
F0036_582,582,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,C_feed_in,"C_feed_in=(M_mag_conc_solid+M_tm_discharge_solid_prev)/max(M_mag_conc_wet+M_tm_discharge_wet_prev+M_water_add,eps)",,merged,duplicate_same_formula,no,1291,
F0036_583,583,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,F325_feed_in,"F325_feed_in=(M_mag_conc_solid*F325_mag_conc+M_tm_discharge_solid_prev*F325_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)",,merged,duplicate_same_formula,no,1292,
F0036_584,584,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,Liberation_fe_feed_in,"Liberation_fe_feed_in=(M_mag_conc_solid*Liberation_fe_mag_conc+M_tm_discharge_solid_prev*Liberation_fe_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)",,merged,duplicate_same_formula,no,1293,
F0036_585,585,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,Liberation_gangue_feed_in,"Liberation_gangue_feed_in=(M_mag_conc_solid*Liberation_gangue_mag_conc+M_tm_discharge_solid_prev*Liberation_gangue_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)",,merged,duplicate_same_formula,no,1294,
F0036_586,586,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,WI_feed_in,"WI_feed_in=(M_mag_conc_solid*WI_mag_conc+M_tm_discharge_solid_prev*WI_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)",,merged,duplicate_same_formula,no,1295,
F0036_588,588,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,C_feed,"C_feed=C_feed_prev+(dt/max(tau_cyc_pool,eps))*(C_feed_in-C_feed_prev)",,merged,duplicate_same_formula,no,1301,
F0036_589,589,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,F325_feed,"F325_feed=F325_feed_prev+(dt/max(tau_cyc_pool,eps))*(F325_feed_in-F325_feed_prev)",,merged,duplicate_same_formula,no,1302,
F0036_590,590,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,Liberation_fe_feed,"Liberation_fe_feed=Liberation_fe_feed_prev+(dt/max(tau_cyc_pool,eps))*(Liberation_fe_feed_in-Liberation_fe_feed_prev)",,merged,duplicate_same_formula,no,1303,
F0036_591,591,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,Liberation_gangue_feed,"Liberation_gangue_feed=Liberation_gangue_feed_prev+(dt/max(tau_cyc_pool,eps))*(Liberation_gangue_feed_in-Liberation_gangue_feed_prev)",,merged,duplicate_same_formula,no,1304,
F0036_592,592,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,WI_feed,"WI_feed=WI_feed_prev+(dt/max(tau_cyc_pool,eps))*(WI_feed_in-WI_feed_prev)",,merged,duplicate_same_formula,no,1305,
F0037_598,598,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,d50,"d50=d50_ref*(P_ref/max(P_cyc,eps))^aP*(C/C_ref)^aC*(mu_slurry/mu_ref)^amu",,superseded,duplicate_conflict_executable_preferred,yes,1328,
F0037_599,599,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,alpha_ov,"alpha_ov=clip(sigmoid(kF*(F325_feed-F325_ref)+kP*(P_cyc-P_ref)-kC*(C-C_ref)-kmu*(mu_slurry-mu_ref)),0,1)",,superseded,duplicate_conflict_executable_preferred,yes,1329,
F0037_600,600,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,overflow_j,"overflow_j=feed_j*partition_fine_j(d50,alpha_ov)",V5_0429,migrated,canonical_formula,no,600,
F0037_601,601,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,sand_j,sand_j=feed_j-overflow_j,V5_0450,migrated,canonical_formula,no,601,
F0037_603,603,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,M_overflow_solid,M_overflow_solid = feed_solid*alpha_ov,V5_0105,migrated,canonical_formula,no,603,
F0037_604,604,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,M_sand_solid,M_sand_solid = feed_solid-M_overflow_solid,V5_0108,migrated,canonical_formula,no,604,
F0037_606,606,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,alpha_ov_water,"alpha_ov_water = clip(alpha_ov*k_water_split,0,1)",,merged,duplicate_same_formula,no,1336,
F0037_607,607,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,M_overflow_water,M_overflow_water = feed_water*alpha_ov_water,V5_0106,migrated,canonical_formula,no,607,
F0037_608,608,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,M_sand_water,M_sand_water = feed_water-M_overflow_water,V5_0109,migrated,canonical_formula,no,608,
F0037_610,610,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,Q_overflow,Q_overflow = M_overflow_solid/rho_solid_mix + M_overflow_water/rho_water,,superseded,duplicate_conflict_executable_preferred,yes,1339,
F0037_611,611,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,rho_overflow,"rho_overflow = (M_overflow_solid+M_overflow_water)/max(Q_overflow,eps)",,superseded,duplicate_conflict_executable_preferred,yes,1340,
F0037_613,613,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,F325_overflow,"F325_overflow = clip(F325_feed*k_fine_enrich/max(alpha_ov,eps),F325_feed,1.0)",,merged,duplicate_same_formula,no,1345,
F0037_614,614,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,Liberation_fe_overflow,"Liberation_fe_overflow = clip(Liberation_fe_feed*k_lib_fe_enrich,Liberation_fe_feed,1.0)",,merged,duplicate_same_formula,no,1346,
